"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"2343","079980","휴비스",8400,-220,-2.55,NA,NA,11407,0.74,150,1.79
"2344","065510","휴비츠",8180,220,2.76,688,11.89,7403,1.1,150,1.83
"2345","005010","휴스틸",9510,-350,-3.55,NA,NA,52030,0.18,300,3.15
"2346","243070","휴온스",56800,-1200,-2.07,3525,16.11,17921,3.17,700,1.23
"2347","084110","휴온스글로벌",29350,100,0.34,2231,13.16,31494,0.93,400,1.36
"2348","145020","휴젤",185500,100,0.05,3641,50.95,55220,3.36,0,0
"2349","069260","휴켐스",24400,-400,-1.61,1812,13.47,15970,1.53,1000,4.1
"2350","024060","흥구석유",6920,90,1.32,570,12.14,5133,1.35,150,2.17
"2351","010240","흥국",7700,-350,-4.35,568,13.56,5477,1.41,150,1.95
"2352","189980","흥국에프엔비",3265,120,3.82,151,21.62,1745,1.87,30,0.92
"2353","000540","흥국화재",3770,65,1.75,510,7.39,10926,0.35,0,0
"2354","000547","흥국화재2우B",19650,450,2.34,NA,NA,NA,NA,0,0
"2355","000545","흥국화재우",7380,110,1.51,NA,NA,NA,NA,0,0
"2356","003280","흥아해운",258,0,0,NA,NA,276,0.93,0,0
"2357","037440","희림",4255,20,0.47,288,14.77,3827,1.11,150,3.53
"2358","238490","힘스",15150,-400,-2.57,759,19.96,5382,2.81,200,1.32
